mes,vendedor,region,meta_usd,ventas_usd,cumplimiento_pct,oportunidades_ganadas
2025-10,Felipe Casas,Sur,58765.0,56523.5,96.2,1
2025-10,Marcela Quintero,Oriente,55955.0,48654.7,87.0,3
2025-10,Sergio Ibáñez,Oriente,54175.0,58447.1,107.9,2
2025-11,Laura Cifuentes,Norte,45714.0,44966.7,98.4,3
2025-11,Andrés Pardo,Norte,60147.0,60948.2,101.3,2
2025-11,Camila Restrepo,Centro,55881.0,57457.3,102.8,1
2025-11,Julián Ospina,Centro,42335.0,44394.9,104.9,3
2025-11,Diana Rueda,Sur,69633.0,72664.0,104.4,4
2025-11,Felipe Casas,Sur,67824.0,68343.5,100.8,2
2025-11,Marcela Quintero,Oriente,54168.0,57785.4,106.7,4
2025-11,Sergio Ibáñez,Oriente,71335.0,71532.1,100.3,4
2025-12,Laura Cifuentes,Norte,71569.0,71242.0,99.5,3
2025-12,Andrés Pardo,Norte,56539.0,59042.3,104.4,3
2025-12,Camila Restrepo,Centro,67176.0,57094.7,85.0,4
2025-12,Julián Ospina,Centro,49550.0,51972.6,104.9,5
2025-12,Diana Rueda,Sur,56542.0,57691.9,102.0,5
2025-12,Felipe Casas,Sur,58760.0,59098.9,100.6,2
2025-12,Marcela Quintero,Oriente,71159.0,76828.6,108.0,3
2025-12,Sergio Ibáñez,Oriente,60404.0,61233.5,101.4,3
2026-01,Laura Cifuentes,Norte,49151.0,44544.7,90.6,2
2026-01,Andrés Pardo,Norte,63845.0,55463.0,86.9,3
2026-01,Camila Restrepo,Centro,58000.0,54460.4,93.9,6
2026-01,Julián Ospina,Centro,47965.0,42719.2,89.1,3
2026-01,Diana Rueda,Sur,62164.0,57592.9,92.6,4
2026-01,Felipe Casas,Sur,66477.0,63251.2,95.1,2
2026-01,Marcela Quintero,Oriente,59237.0,50804.2,85.8,5
2026-01,Sergio Ibáñez,Oriente,73452.0,77873.2,106.0,2
2026-02,Laura Cifuentes,Norte,49501.0,49951.0,100.9,3
2026-02,Andrés Pardo,Norte,69466.0,68986.0,99.3,2
2026-02,Camila Restrepo,Centro,60439.0,61861.6,102.4,4
2026-02,Julián Ospina,Centro,48637.0,44519.8,91.5,4
2026-02,Diana Rueda,Sur,44333.0,47664.8,107.5,4
2026-02,Felipe Casas,Sur,48151.0,48250.3,100.2,3
2026-02,Marcela Quintero,Oriente,52448.0,45927.2,87.6,4
2026-02,Sergio Ibáñez,Oriente,54058.0,55396.1,102.5,6
2026-03,Laura Cifuentes,Norte,65692.0,59668.0,90.8,4
2026-03,Andrés Pardo,Norte,66150.0,63434.5,95.9,5
2026-03,Camila Restrepo,Centro,67890.0,72767.2,107.2,3
2026-03,Julián Ospina,Centro,66575.0,61510.9,92.4,2
2026-03,Diana Rueda,Sur,50093.0,53983.4,107.8,5
2026-03,Felipe Casas,Sur,51380.0,49651.8,96.6,3
2026-03,Marcela Quintero,Oriente,59127.0,61607.8,104.2,5
2026-03,Sergio Ibáñez,Oriente,52735.0,54795.0,103.9,4
2026-04,Laura Cifuentes,Norte,62400.0,56423.6,90.4,2
2026-04,Andrés Pardo,Norte,55310.0,43610.6,78.8,3
2026-04,Camila Restrepo,Centro,72524.0,61972.3,85.5,4
2026-04,Julián Ospina,Centro,68615.0,58418.5,85.1,2
2026-04,Diana Rueda,Sur,56545.0,47296.0,83.6,5
2026-04,Felipe Casas,Sur,53861.0,48868.7,90.7,4
2026-04,Marcela Quintero,Oriente,48144.0,41106.6,85.4,3
2026-04,Sergio Ibáñez,Oriente,60938.0,51801.2,85.0,4
2026-05,Laura Cifuentes,Norte,71127.0,65294.3,91.8,3
2026-05,Andrés Pardo,Norte,69242.0,61270.8,88.5,1
2026-05,Camila Restrepo,Centro,62873.0,60170.4,95.7,4
2026-05,Julián Ospina,Centro,56297.0,52145.8,92.6,4
2026-05,Diana Rueda,Sur,54564.0,42697.9,78.3,1
2026-05,Felipe Casas,Sur,57938.0,47450.3,81.9,4
2026-05,Marcela Quintero,Oriente,61723.0,59328.1,96.1,4
2026-05,Sergio Ibáñez,Oriente,57716.0,50457.1,87.4,3
2026-06,Laura Cifuentes,Norte,67418.0,51250.9,76.0,2
2026-06,Andrés Pardo,Norte,61580.0,48221.9,78.3,4
2026-06,Camila Restrepo,Centro,68583.0,59146.5,86.2,5
2026-06,Julián Ospina,Centro,58399.0,51914.6,88.9,4
2026-06,Diana Rueda,Sur,62381.0,48654.3,78.0,5
2026-06,Felipe Casas,Sur,52470.0,45178.9,86.1,2
2026-06,Marcela Quintero,Oriente,55425.0,41564.9,75.0,2
2026-06,Sergio Ibáñez,Oriente,49401.0,35129.4,71.1,4
