id_oportunidad,fecha_creacion,cliente,industria,region,origen_lead,vendedor,etapa_actual,valor_usd,estado,fecha_cierre,dias_ciclo,dias_en_etapa_actual
OPP-1038,2025-02-05,Cliente_359,Tecnología,Oriente,Cliente actual,Sergio Ibáñez,Prospección,2530.0,Perdida,2025-03-07,60,6
OPP-1039,2025-02-11,Cliente_263,Servicios financieros,Norte,Cliente actual,Laura Cifuentes,Calificación,11444.0,Perdida,2025-03-11,57,13
OPP-1040,2025-02-20,Cliente_161,Logística,Oriente,Inbound digital,Sergio Ibáñez,Prospección,4236.0,Perdida,2025-03-27,71,16
OPP-1041,2025-02-10,Cliente_102,Servicios financieros,Sur,WhatsApp,Diana Rueda,Calificación,10526.0,Perdida,2025-03-11,59,18
OPP-1042,2025-02-05,Cliente_155,Retail mayorista,Oriente,Referido,Sergio Ibáñez,Calificación,2515.0,Perdida,2025-03-14,75,24
OPP-1043,2025-02-28,Cliente_305,Salud,Centro,Inbound digital,Julián Ospina,Calificación,5567.0,Perdida,2025-04-02,67,19
OPP-1044,2025-02-25,Cliente_299,Tecnología,Centro,Inbound digital,Julián Ospina,Prospección,14089.0,Perdida,2025-03-30,67,15
OPP-1045,2025-02-03,Cliente_169,Tecnología,Centro,Referido,Julián Ospina,Calificación,7897.0,Perdida,2025-03-08,67,6
OPP-1046,2025-02-04,Cliente_104,Salud,Norte,Inbound digital,Laura Cifuentes,Calificación,19491.0,Perdida,2025-03-05,58,13
OPP-1047,2025-02-19,Cliente_121,Manufactura,Sur,Cliente actual,Diana Rueda,Prospección,7460.0,Perdida,2025-03-21,61,8
OPP-1048,2025-02-24,Cliente_256,Servicios financieros,Norte,Referido,Laura Cifuentes,Propuesta,3141.0,Perdida,2025-04-28,63,11
OPP-1049,2025-02-16,Cliente_326,Servicios financieros,Norte,WhatsApp,Laura Cifuentes,Propuesta,2137.0,Perdida,2025-04-21,64,9
OPP-1050,2025-02-01,Cliente_373,Retail mayorista,Oriente,Evento / feria,Marcela Quintero,Calificación,39146.0,Perdida,2025-03-04,63,5
OPP-1051,2025-02-16,Cliente_291,Salud,Sur,Cliente actual,Felipe Casas,Propuesta,19217.0,Perdida,2025-04-20,63,23
OPP-1052,2025-02-22,Cliente_366,Manufactura,Norte,Evento / feria,Andrés Pardo,Cierre,2706.0,Ganada,2025-05-16,83,8
OPP-1053,2025-02-26,Cliente_243,Servicios financieros,Norte,Cliente actual,Laura Cifuentes,Prospección,6618.0,Perdida,2025-03-23,51,8
OPP-1054,2025-02-27,Cliente_375,Tecnología,Sur,WhatsApp,Diana Rueda,Calificación,7519.0,Perdida,2025-04-06,77,15
OPP-1055,2025-02-22,Cliente_358,Retail mayorista,Oriente,WhatsApp,Sergio Ibáñez,Negociación,7635.0,Abierta,,,7
OPP-1056,2025-02-25,Cliente_185,Manufactura,Sur,Cliente actual,Felipe Casas,Prospección,620.0,Perdida,2025-03-28,63,6
OPP-1057,2025-02-12,Cliente_151,Retail mayorista,Norte,Outbound,Laura Cifuentes,Prospección,5287.0,Perdida,2025-03-11,55,21
OPP-1058,2025-02-01,Cliente_131,Servicios financieros,Centro,WhatsApp,Julián Ospina,Negociación,4587.0,Perdida,2025-04-14,72,19
OPP-1059,2025-02-24,Cliente_170,Servicios financieros,Centro,WhatsApp,Camila Restrepo,Prospección,10420.0,Perdida,2025-04-01,73,11
OPP-1060,2025-02-28,Cliente_321,Retail mayorista,Norte,WhatsApp,Laura Cifuentes,Calificación,6668.0,Perdida,2025-03-28,57,14
OPP-1061,2025-02-02,Cliente_144,Logística,Centro,WhatsApp,Julián Ospina,Prospección,4590.0,Perdida,2025-03-10,72,24
OPP-1062,2025-02-08,Cliente_165,Tecnología,Oriente,Referido,Sergio Ibáñez,Calificación,1096.0,Perdida,2025-03-11,62,21
OPP-1063,2025-02-02,Cliente_128,Servicios financieros,Norte,Cliente actual,Laura Cifuentes,Prospección,12617.0,Perdida,2025-03-06,64,20
OPP-1064,2025-02-20,Cliente_254,Salud,Centro,Referido,Camila Restrepo,Negociación,7970.0,Abierta,,,16
OPP-1065,2025-02-15,Cliente_146,Retail mayorista,Sur,WhatsApp,Diana Rueda,Prospección,4371.0,Perdida,2025-03-20,67,22
OPP-1066,2025-02-28,Cliente_227,Logística,Centro,WhatsApp,Camila Restrepo,Propuesta,20045.0,Perdida,2025-05-14,75,23
OPP-1067,2025-02-01,Cliente_119,Tecnología,Centro,Referido,Camila Restrepo,Calificación,23138.0,Perdida,2025-03-08,70,16
OPP-1068,2025-02-24,Cliente_202,Servicios financieros,Oriente,Inbound digital,Marcela Quintero,Calificación,7957.0,Perdida,2025-03-31,71,18
OPP-1069,2025-02-07,Cliente_295,Manufactura,Oriente,WhatsApp,Marcela Quintero,Propuesta,6392.0,Perdida,2025-04-01,53,8
OPP-1070,2025-02-23,Cliente_305,Tecnología,Centro,WhatsApp,Julián Ospina,Propuesta,6955.0,Perdida,2025-05-05,71,20
OPP-1071,2025-02-25,Cliente_110,Salud,Oriente,WhatsApp,Marcela Quintero,Cierre,5937.0,Ganada,2025-05-05,69,2
OPP-1072,2025-02-05,Cliente_106,Salud,Oriente,Evento / feria,Marcela Quintero,Prospección,30115.0,Perdida,2025-03-06,58,22
OPP-1073,2025-02-08,Cliente_270,Salud,Oriente,Evento / feria,Marcela Quintero,Prospección,6296.0,Perdida,2025-03-12,65,22
OPP-1074,2025-02-22,Cliente_197,Tecnología,Sur,Cliente actual,Diana Rueda,Prospección,6953.0,Perdida,2025-03-31,75,13
OPP-1075,2025-02-19,Cliente_163,Manufactura,Oriente,Outbound,Sergio Ibáñez,Prospección,5844.0,Perdida,2025-03-28,74,13
OPP-1076,2025-03-10,Cliente_336,Manufactura,Norte,Referido,Andrés Pardo,Prospección,30342.0,Perdida,2025-04-05,53,18
OPP-1077,2025-03-14,Cliente_335,Tecnología,Norte,WhatsApp,Andrés Pardo,Cierre,6203.0,Ganada,2025-05-21,68,6
OPP-1078,2025-03-18,Cliente_336,Logística,Centro,Inbound digital,Julián Ospina,Prospección,6787.0,Perdida,2025-04-18,63,16
OPP-1079,2025-03-17,Cliente_361,Tecnología,Oriente,Outbound,Marcela Quintero,Prospección,17055.0,Perdida,2025-04-22,72,19
OPP-1080,2025-03-01,Cliente_206,Retail mayorista,Oriente,Referido,Sergio Ibáñez,Prospección,10323.0,Perdida,2025-04-10,81,15
OPP-1081,2025-03-02,Cliente_356,Manufactura,Oriente,Cliente actual,Marcela Quintero,Prospección,34268.0,Perdida,2025-04-08,75,24
OPP-1082,2025-03-16,Cliente_223,Retail mayorista,Sur,Outbound,Diana Rueda,Prospección,3770.0,Perdida,2025-04-24,79,20
OPP-1083,2025-03-03,Cliente_145,Salud,Oriente,Inbound digital,Marcela Quintero,Calificación,12527.0,Perdida,2025-04-09,75,24
OPP-1084,2025-03-03,Cliente_228,Retail mayorista,Sur,Inbound digital,Felipe Casas,Prospección,6749.0,Perdida,2025-04-06,68,24
OPP-1085,2025-03-18,Cliente_264,Salud,Norte,Inbound digital,Laura Cifuentes,Prospección,7152.0,Perdida,2025-04-22,70,24
OPP-1086,2025-03-03,Cliente_223,Servicios financieros,Norte,Outbound,Laura Cifuentes,Prospección,7976.0,Perdida,2025-04-07,71,23
OPP-1087,2025-03-07,Cliente_244,Logística,Sur,Evento / feria,Diana Rueda,Calificación,3240.0,Perdida,2025-04-06,60,23
OPP-1088,2025-03-16,Cliente_200,Tecnología,Oriente,WhatsApp,Sergio Ibáñez,Prospección,4853.0,Perdida,2025-04-12,55,23
OPP-1089,2025-03-28,Cliente_160,Salud,Sur,Outbound,Diana Rueda,Propuesta,1457.0,Perdida,2025-06-09,73,27
OPP-1090,2025-03-07,Cliente_369,Logística,Oriente,Referido,Marcela Quintero,Prospección,13923.0,Perdida,2025-04-08,64,7
OPP-1091,2025-03-17,Cliente_360,Retail mayorista,Norte,Inbound digital,Andrés Pardo,Calificación,4290.0,Perdida,2025-04-16,60,6
OPP-1092,2025-03-25,Cliente_126,Retail mayorista,Centro,WhatsApp,Julián Ospina,Prospección,4422.0,Perdida,2025-05-01,74,23
OPP-1093,2025-03-19,Cliente_100,Servicios financieros,Sur,Evento / feria,Diana Rueda,Calificación,20345.0,Perdida,2025-04-13,50,9
OPP-1094,2025-03-03,Cliente_190,Servicios financieros,Oriente,Evento / feria,Sergio Ibáñez,Propuesta,26236.0,Perdida,2025-05-06,64,24
OPP-1095,2025-03-24,Cliente_309,Retail mayorista,Centro,Inbound digital,Camila Restrepo,Prospección,7780.0,Perdida,2025-04-29,72,16
OPP-1096,2025-03-04,Cliente_391,Logística,Norte,WhatsApp,Laura Cifuentes,Calificación,3837.0,Perdida,2025-03-31,55,12
OPP-1097,2025-03-07,Cliente_281,Retail mayorista,Norte,Evento / feria,Andrés Pardo,Propuesta,4642.0,Perdida,2025-05-24,78,26
OPP-1098,2025-03-16,Cliente_375,Manufactura,Norte,Inbound digital,Laura Cifuentes,Calificación,5224.0,Perdida,2025-04-17,64,23
OPP-1099,2025-03-07,Cliente_187,Manufactura,Oriente,Evento / feria,Sergio Ibáñez,Calificación,24571.0,Perdida,2025-04-05,59,13
OPP-1100,2025-03-09,Cliente_282,Manufactura,Centro,Inbound digital,Camila Restrepo,Propuesta,6045.0,Perdida,2025-06-07,90,28
OPP-1101,2025-03-26,Cliente_318,Manufactura,Centro,WhatsApp,Camila Restrepo,Calificación,21648.0,Perdida,2025-05-02,74,14
OPP-1102,2025-03-08,Cliente_224,Retail mayorista,Centro,Outbound,Camila Restrepo,Prospección,6801.0,Perdida,2025-04-09,65,21
OPP-1103,2025-03-07,Cliente_218,Salud,Oriente,Cliente actual,Sergio Ibáñez,Calificación,10024.0,Perdida,2025-04-14,76,16
OPP-1104,2025-03-17,Cliente_387,Salud,Centro,Outbound,Camila Restrepo,Prospección,3544.0,Perdida,2025-04-23,75,12
OPP-1105,2025-03-23,Cliente_297,Tecnología,Sur,Inbound digital,Felipe Casas,Negociación,16862.0,Perdida,2025-06-07,76,29
OPP-1106,2025-03-28,Cliente_220,Salud,Oriente,Cliente actual,Marcela Quintero,Calificación,5840.0,Perdida,2025-05-07,81,6
OPP-1107,2025-03-05,Cliente_106,Servicios financieros,Norte,Outbound,Andrés Pardo,Prospección,5362.0,Perdida,2025-04-14,81,17
OPP-1108,2025-03-07,Cliente_232,Manufactura,Norte,Cliente actual,Andrés Pardo,Prospección,3200.0,Perdida,2025-04-11,71,11
OPP-1109,2025-03-17,Cliente_318,Salud,Centro,WhatsApp,Camila Restrepo,Propuesta,13462.0,Perdida,2025-05-10,54,13
OPP-1110,2025-03-01,Cliente_153,Tecnología,Norte,WhatsApp,Laura Cifuentes,Cierre,6026.0,Ganada,2025-04-28,58,8
OPP-1111,2025-03-13,Cliente_378,Retail mayorista,Centro,WhatsApp,Julián Ospina,Prospección,1451.0,Perdida,2025-04-19,74,13
OPP-1112,2025-03-15,Cliente_129,Servicios financieros,Norte,Evento / feria,Andrés Pardo,Propuesta,8257.0,Perdida,2025-05-19,65,10
OPP-1113,2025-03-28,Cliente_251,Tecnología,Oriente,Evento / feria,Sergio Ibáñez,Prospección,6415.0,Perdida,2025-05-04,74,17
OPP-1114,2025-03-16,Cliente_163,Retail mayorista,Norte,Inbound digital,Andrés Pardo,Prospección,2871.0,Perdida,2025-04-24,78,23
OPP-1115,2025-03-04,Cliente_150,Logística,Oriente,WhatsApp,Marcela Quintero,Calificación,2237.0,Perdida,2025-04-07,68,24
OPP-1116,2025-04-25,Cliente_152,Salud,Oriente,WhatsApp,Sergio Ibáñez,Prospección,5475.0,Perdida,2025-06-02,76,11
OPP-1117,2025-04-03,Cliente_167,Manufactura,Oriente,WhatsApp,Sergio Ibáñez,Propuesta,3669.0,Perdida,2025-06-18,76,19
OPP-1118,2025-04-09,Cliente_355,Logística,Centro,WhatsApp,Camila Restrepo,Prospección,22286.0,Perdida,2025-05-07,57,13
OPP-1119,2025-04-11,Cliente_176,Manufactura,Centro,Evento / feria,Camila Restrepo,Calificación,4514.0,Perdida,2025-05-11,60,9
OPP-1120,2025-04-25,Cliente_384,Logística,Norte,WhatsApp,Andrés Pardo,Calificación,41157.0,Perdida,2025-06-03,79,17
OPP-1121,2025-04-01,Cliente_154,Manufactura,Centro,WhatsApp,Julián Ospina,Propuesta,5087.0,Abierta,,,7
OPP-1122,2025-04-05,Cliente_248,Tecnología,Oriente,Inbound digital,Sergio Ibáñez,Prospección,2742.0,Perdida,2025-05-09,68,17
OPP-1123,2025-04-10,Cliente_128,Servicios financieros,Sur,Referido,Diana Rueda,Prospección,53296.0,Perdida,2025-05-09,58,5
OPP-1124,2025-04-15,Cliente_369,Servicios financieros,Norte,Referido,Andrés Pardo,Cierre,5246.0,Ganada,2025-06-13,59,7
OPP-1125,2025-04-21,Cliente_397,Salud,Oriente,Inbound digital,Sergio Ibáñez,Calificación,5586.0,Perdida,2025-05-28,75,19
OPP-1126,2025-04-26,Cliente_168,Retail mayorista,Oriente,WhatsApp,Sergio Ibáñez,Calificación,1840.0,Perdida,2025-06-01,73,17
OPP-1127,2025-04-12,Cliente_221,Manufactura,Sur,Inbound digital,Diana Rueda,Propuesta,12790.0,Perdida,2025-06-20,69,26
OPP-1128,2025-04-18,Cliente_334,Tecnología,Oriente,Evento / feria,Marcela Quintero,Prospección,15950.0,Perdida,2025-05-16,56,5
OPP-1129,2025-04-01,Cliente_277,Tecnología,Sur,Cliente actual,Felipe Casas,Calificación,43674.0,Perdida,2025-05-05,69,10
OPP-1130,2025-04-06,Cliente_237,Manufactura,Oriente,WhatsApp,Marcela Quintero,Calificación,14389.0,Perdida,2025-05-16,81,6
OPP-1131,2025-04-08,Cliente_350,Manufactura,Centro,WhatsApp,Camila Restrepo,Prospección,6973.0,Perdida,2025-05-07,58,13
OPP-1132,2025-04-17,Cliente_173,Manufactura,Norte,WhatsApp,Laura Cifuentes,Cierre,17267.0,Ganada,2025-07-01,75,5
OPP-1133,2025-04-17,Cliente_189,Tecnología,Norte,Referido,Laura Cifuentes,Cierre,35051.0,Ganada,2025-06-14,58,5
OPP-1134,2025-04-24,Cliente_155,Tecnología,Sur,Outbound,Diana Rueda,Prospección,15082.0,Perdida,2025-05-21,54,5
OPP-1135,2025-04-02,Cliente_293,Salud,Oriente,Outbound,Marcela Quintero,Propuesta,41253.0,Perdida,2025-06-28,87,19
OPP-1136,2025-04-15,Cliente_335,Retail mayorista,Norte,WhatsApp,Andrés Pardo,Prospección,16299.0,Perdida,2025-05-23,76,7
OPP-1137,2025-04-03,Cliente_223,Salud,Oriente,Outbound,Sergio Ibáñez,Calificación,33891.0,Perdida,2025-05-12,79,20
OPP-1138,2025-04-06,Cliente_231,Retail mayorista,Sur,Outbound,Felipe Casas,Prospección,10753.0,Perdida,2025-05-18,84,17
OPP-1139,2025-04-11,Cliente_208,Manufactura,Norte,Cliente actual,Laura Cifuentes,Calificación,15101.0,Perdida,2025-05-18,74,20
OPP-1140,2025-04-19,Cliente_127,Retail mayorista,Centro,Referido,Julián Ospina,Prospección,68241.0,Perdida,2025-05-22,66,7
OPP-1141,2025-04-22,Cliente_359,Logística,Norte,Outbound,Andrés Pardo,Prospección,9123.0,Perdida,2025-05-22,61,16
OPP-1142,2025-04-05,Cliente_354,Manufactura,Oriente,Outbound,Marcela Quintero,Prospección,22041.0,Perdida,2025-05-19,89,10
OPP-1143,2025-04-21,Cliente_302,Logística,Sur,Referido,Diana Rueda,Prospección,9769.0,Perdida,2025-05-15,49,14
OPP-1144,2025-04-14,Cliente_365,Servicios financieros,Norte,Referido,Laura Cifuentes,Calificación,25498.0,Perdida,2025-05-19,70,8
OPP-1145,2025-04-02,Cliente_144,Salud,Oriente,Evento / feria,Marcela Quintero,Calificación,5974.0,Perdida,2025-05-09,75,24
OPP-1146,2025-04-19,Cliente_299,Manufactura,Sur,Evento / feria,Felipe Casas,Prospección,17416.0,Perdida,2025-05-18,58,16
OPP-1147,2025-04-02,Cliente_147,Manufactura,Norte,WhatsApp,Laura Cifuentes,Calificación,10095.0,Perdida,2025-05-10,77,8
OPP-1148,2025-04-12,Cliente_292,Logística,Norte,Inbound digital,Laura Cifuentes,Prospección,15664.0,Perdida,2025-05-09,55,12
OPP-1149,2025-04-06,Cliente_334,Salud,Norte,Referido,Laura Cifuentes,Propuesta,4993.0,Perdida,2025-06-19,74,27
OPP-1150,2025-04-05,Cliente_158,Tecnología,Sur,Cliente actual,Felipe Casas,Calificación,26472.0,Perdida,2025-05-03,56,13
OPP-1151,2025-04-28,Cliente_282,Logística,Centro,Referido,Camila Restrepo,Prospección,8973.0,Perdida,2025-06-04,75,5
OPP-1152,2025-05-18,Cliente_238,Retail mayorista,Centro,WhatsApp,Camila Restrepo,Prospección,4569.0,Perdida,2025-06-18,62,16
OPP-1153,2025-05-23,Cliente_347,Servicios financieros,Centro,WhatsApp,Julián Ospina,Cierre,21374.0,Ganada,2025-07-24,62,9
OPP-1154,2025-05-27,Cliente_354,Salud,Centro,Cliente actual,Julián Ospina,Cierre,8966.0,Ganada,2025-07-20,54,7
OPP-1155,2025-05-22,Cliente_125,Servicios financieros,Oriente,Referido,Marcela Quintero,Calificación,19276.0,Perdida,2025-06-23,65,5
OPP-1156,2025-05-17,Cliente_181,Salud,Centro,Cliente actual,Camila Restrepo,Prospección,10188.0,Perdida,2025-06-18,64,10
OPP-1157,2025-05-22,Cliente_312,Tecnología,Sur,Evento / feria,Diana Rueda,Calificación,3114.0,Perdida,2025-06-23,65,11
OPP-1158,2025-05-17,Cliente_141,Manufactura,Sur,Inbound digital,Diana Rueda,Prospección,6303.0,Perdida,2025-06-21,71,15
OPP-1159,2025-05-10,Cliente_195,Logística,Oriente,WhatsApp,Marcela Quintero,Prospección,9031.0,Perdida,2025-06-05,53,16
OPP-1160,2025-05-09,Cliente_244,Tecnología,Norte,WhatsApp,Andrés Pardo,Prospección,28432.0,Perdida,2025-06-16,77,7
OPP-1161,2025-05-19,Cliente_245,Retail mayorista,Norte,Inbound digital,Andrés Pardo,Calificación,2441.0,Perdida,2025-06-25,75,22
OPP-1162,2025-05-05,Cliente_282,Logística,Norte,Referido,Andrés Pardo,Calificación,6062.0,Perdida,2025-06-03,58,11
OPP-1163,2025-05-26,Cliente_353,Retail mayorista,Sur,Outbound,Diana Rueda,Prospección,31066.0,Perdida,2025-06-28,66,15
OPP-1164,2025-05-19,Cliente_156,Logística,Oriente,Inbound digital,Sergio Ibáñez,Prospección,2185.0,Perdida,2025-06-29,82,22
OPP-1165,2025-05-01,Cliente_182,Salud,Centro,Referido,Camila Restrepo,Calificación,10187.0,Perdida,2025-06-08,77,16
OPP-1166,2025-05-20,Cliente_231,Servicios financieros,Sur,WhatsApp,Diana Rueda,Prospección,18414.0,Perdida,2025-06-22,67,15
OPP-1167,2025-05-08,Cliente_142,Tecnología,Sur,Evento / feria,Felipe Casas,Prospección,18037.0,Perdida,2025-06-13,72,19
OPP-1168,2025-05-21,Cliente_182,Servicios financieros,Centro,Referido,Julián Ospina,Prospección,4519.0,Perdida,2025-06-22,65,22
OPP-1169,2025-05-18,Cliente_119,Logística,Oriente,Referido,Sergio Ibáñez,Negociación,29837.0,Abierta,,,17
OPP-1170,2025-05-10,Cliente_351,Tecnología,Norte,WhatsApp,Laura Cifuentes,Prospección,4149.0,Perdida,2025-06-13,68,9
OPP-1171,2025-05-24,Cliente_306,Manufactura,Centro,WhatsApp,Julián Ospina,Calificación,2348.0,Perdida,2025-06-24,62,15
OPP-1172,2025-05-26,Cliente_374,Manufactura,Centro,WhatsApp,Camila Restrepo,Propuesta,9472.0,Perdida,2025-07-31,66,18
OPP-1173,2025-05-19,Cliente_336,Servicios financieros,Centro,Evento / feria,Julián Ospina,Prospección,10489.0,Perdida,2025-06-12,49,7
OPP-1174,2025-05-12,Cliente_390,Manufactura,Sur,WhatsApp,Diana Rueda,Prospección,16022.0,Perdida,2025-06-14,67,15
OPP-1175,2025-05-10,Cliente_357,Servicios financieros,Oriente,WhatsApp,Sergio Ibáñez,Calificación,2636.0,Perdida,2025-06-05,53,11
OPP-1176,2025-05-12,Cliente_220,Tecnología,Norte,WhatsApp,Andrés Pardo,Calificación,39666.0,Perdida,2025-06-06,51,5
OPP-1177,2025-05-19,Cliente_166,Logística,Centro,Referido,Camila Restrepo,Prospección,5759.0,Perdida,2025-06-26,77,9
OPP-1178,2025-05-02,Cliente_175,Logística,Centro,Cliente actual,Julián Ospina,Negociación,2867.0,Perdida,2025-07-02,61,15
OPP-1179,2025-05-24,Cliente_365,Salud,Centro,Referido,Camila Restrepo,Prospección,29267.0,Perdida,2025-06-28,70,8
OPP-1180,2025-05-15,Cliente_246,Retail mayorista,Sur,Referido,Diana Rueda,Calificación,42292.0,Perdida,2025-06-21,74,17
OPP-1181,2025-05-16,Cliente_343,Retail mayorista,Sur,WhatsApp,Diana Rueda,Prospección,3260.0,Perdida,2025-06-12,55,9
OPP-1182,2025-05-24,Cliente_126,Manufactura,Centro,WhatsApp,Julián Ospina,Cierre,5408.0,Ganada,2025-08-07,75,5
OPP-1183,2025-05-08,Cliente_304,Logística,Norte,Inbound digital,Laura Cifuentes,Cierre,12286.0,Ganada,2025-07-08,61,3
OPP-1184,2025-05-06,Cliente_361,Retail mayorista,Sur,Cliente actual,Diana Rueda,Calificación,9841.0,Perdida,2025-06-07,65,7
OPP-1185,2025-05-08,Cliente_366,Servicios financieros,Sur,WhatsApp,Felipe Casas,Prospección,43155.0,Perdida,2025-06-15,76,6
OPP-1186,2025-05-25,Cliente_301,Manufactura,Oriente,WhatsApp,Sergio Ibáñez,Prospección,13129.0,Perdida,2025-07-02,76,24
OPP-1187,2025-06-15,Cliente_123,Logística,Oriente,Inbound digital,Sergio Ibáñez,Prospección,1694.0,Perdida,2025-07-21,72,10
OPP-1188,2025-06-11,Cliente_333,Salud,Norte,WhatsApp,Andrés Pardo,Calificación,12345.0,Perdida,2025-07-23,85,5
OPP-1189,2025-06-07,Cliente_111,Salud,Norte,WhatsApp,Andrés Pardo,Prospección,28489.0,Perdida,2025-07-15,76,22
OPP-1190,2025-06-26,Cliente_291,Manufactura,Oriente,Inbound digital,Sergio Ibáñez,Prospección,5809.0,Perdida,2025-07-25,59,12
OPP-1191,2025-06-24,Cliente_145,Tecnología,Centro,Inbound digital,Camila Restrepo,Propuesta,11993.0,Perdida,2025-09-07,75,5
